,Unnamed: 0,Prod5,brand_desc,Prod6,YEAR_c,WEEK_c,month_c,START_DATE,END_DATE,Region,m_sku_cd,m_sku_desc,tons,gsv,zcon,zpr1,y400,min_con_price_per_gram,avg_con_price_per_gram,max_con_price_per_gram,media_spend_value,tons_lag18,tons_lag19,tons_lag20,tons_lag21,tons_lagdiff_18_19,tons_lagdiff_19_20,tons_lagdiff_20_21,tons_rollingmean_18_19_20,media_lag_1,media_lag_2,media_lag_3,media_lag_4,media_lagdiff_1_2,media_lagdiff_2_3,media_lagdiff_3_4,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_lagdiff_1_2,price_lagdiff_2_3,price_lagdiff_3_4,sec_vol,sec_val,incentive_applied_pop_count,bonus,freeitems,unit,kg,bonus_flag,freeItems_flag,unit_flag,kg_flag,max_bonus,max_freeitems,max_unit,max_kg,min_bonus,min_freeitems,min_unit,min_kg,avg_bonus,avg_freeitems,avg_unit,avg_kg,incentive_applied_pop_count_lag_1,incentive_applied_pop_count_lag_2,incentive_applied_pop_count_lag_3,incentive_applied_pop_count_lag_4,incentive_applied_pop_count_lagdiff_1_2,incentive_applied_pop_count_lagdiff_2_3,incentive_applied_pop_count_lagdiff_3_4,bonus_lag_1,bonus_lag_2,bonus_lag_3,bonus_lag_4,bonus_lagdiff_1_2,bonus_lagdiff_2_3,bonus_lagdiff_3_4,freeitems_lag_1,freeitems_lag_2,freeitems_lag_3,freeitems_lag_4,freeitems_lagdiff_1_2,freeitems_lagdiff_2_3,freeitems_lagdiff_3_4,unit_lag_1,unit_lag_2,unit_lag_3,unit_lag_4,unit_lagdiff_1_2,unit_lagdiff_2_3,unit_lagdiff_3_4,kg_lag_1,kg_lag_2,kg_lag_3,kg_lag_4,kg_lagdiff_1_2,kg_lagdiff_2_3,kg_lagdiff_3_4,incentive_applied_pop_count_lead_1,incentive_applied_pop_count_lead_2,incentive_applied_pop_count_leaddiff_1_2,bonus_lead_1,bonus_lead_2,bonus_leaddiff_1_2,freeitems_lead_1,freeitems_lead_2,freeitems_leaddiff_1_2,unit_lead_1,unit_lead_2,unit_leaddiff_1_2,kg_lead_1,kg_lead_2,kg_leaddiff_1_2
0,0,310207013,,310207013RY,2018,33,8,2018-08-13,8/19/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.7280000000000002,521134.4,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,5999700.0,1.004,0.847,0.612,1.008,0.157,0.235,-0.396,0.821,5999700.0,6939800.0,6939800.0,6939800.0,-940100.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.4237,432253.87,429,192,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.726562,0,0.0,0.0,360.0,451.0,273.0,402.0,-91.0,178.0,-129.0,185.0,238.0,177.0,197.0,-53.0,61.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,256.0,312.0,-372.0,116.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,150.0,3.0,114.0,109.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,310207013,,310207013RY,2018,35,8,2018-08-27,9/2/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.611,190570.24,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,5999700.0,0.8540000000000001,1.442,1.004,0.847,-0.588,0.43799999999999994,0.157,1.1,5999700.0,5999700.0,5999700.0,6939800.0,0.0,0.0,-940100.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,0.6955,213736.48,150,109,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.692661,0,0.0,0.0,153.0,429.0,360.0,451.0,-276.0,69.0,-91.0,114.0,192.0,185.0,238.0,-78.0,7.0,-53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,-372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,334.0,-14.0,206.0,193.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,310207013,,310207013RY,2018,36,9,2018-09-03,9/9/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,2.758,863521.4,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,6454000.0,1.2,0.8540000000000001,1.442,1.004,0.34600000000000003,-0.588,0.43799999999999994,1.165333333,5999700.0,5999700.0,5999700.0,5999700.0,0.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.3949,442230.53,320,206,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.686893,0,0.0,0.0,150.0,153.0,429.0,360.0,-3.0,-276.0,69.0,109.0,114.0,192.0,185.0,-5.0,-78.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,356.0,-22.0,193.0,212.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,310207013,,310207013RY,2018,37,9,2018-09-10,9/16/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.919,599998.49,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,6454000.0,1.5719999999999998,1.2,0.8540000000000001,1.442,0.37200000000000005,0.34600000000000003,-0.588,1.2086666670000001,6454000.0,5999700.0,5999700.0,5999700.0,454300.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.5875,502140.4,334,193,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.663212,0,0.0,0.0,320.0,150.0,153.0,429.0,170.0,-3.0,-276.0,206.0,109.0,114.0,192.0,97.0,-5.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,386.0,-30.0,212.0,191.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,310207013,,310207013RY,2018,39,9,2018-09-24,9/30/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,2.2119999999999997,692305.95,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,6454000.0,1.6269999999999998,0.981,1.5719999999999998,1.2,0.6459999999999999,-0.591,0.37200000000000005,1.3933333330000002,6454000.0,6454000.0,6454000.0,5999700.0,0.0,0.0,454300.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.6997,538879.82,386,191,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.7146599999999999,0,0.0,0.0,356.0,334.0,320.0,150.0,22.0,14.0,170.0,212.0,193.0,206.0,109.0,19.0,-13.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,363.0,-117.0,137.0,174.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,310207013,,310207013RY,2018,40,10,2018-10-01,10/7/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.635,198014.39,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,2404500.0,1.94,1.6269999999999998,0.981,1.5719999999999998,0.313,0.6459999999999999,-0.591,1.516,6454000.0,6454000.0,6454000.0,6454000.0,0.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.5584,489941.28,246,137,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.653285,0,0.0,0.0,386.0,356.0,334.0,320.0,30.0,22.0,14.0,191.0,212.0,193.0,206.0,-21.0,19.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,279.0,84.0,174.0,191.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,120,310207013,,310207013RY,2018,41,10,2018-10-08,10/14/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.7790000000000001,556822.42,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,2404500.0,1.018,1.94,1.6269999999999998,0.981,-0.922,0.313,0.6459999999999999,1.5283333330000002,2404500.0,6454000.0,6454000.0,6454000.0,-4049500.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.2007,382464.21,363,174,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.646552,0,0.0,0.0,246.0,386.0,356.0,334.0,-140.0,30.0,22.0,137.0,191.0,212.0,193.0,-54.0,-21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,305.0,-26.0,191.0,327.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,140,310207013,,310207013RY,2018,42,10,2018-10-15,10/21/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.474,461537.3,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,2404500.0,1.065,1.018,1.94,1.6269999999999998,0.047,-0.922,0.313,1.341,2404500.0,2404500.0,6454000.0,6454000.0,0.0,-4049500.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.5944,501280.53,279,191,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.643979,0,0.0,0.0,363.0,246.0,386.0,356.0,117.0,-140.0,30.0,174.0,137.0,191.0,212.0,37.0,-54.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,249.0,56.0,327.0,430.0,-103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,160,310207013,,310207013RY,2018,43,10,2018-10-22,10/28/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,2.365,739948.51,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,2404500.0,0.637,1.065,1.018,1.94,-0.428,0.047,-0.922,0.906666667,2404500.0,2404500.0,2404500.0,6454000.0,0.0,0.0,-4049500.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.1811,375270.33,305,327,0,0,0,1,0,0,0,3.5,0,0.0,0.0,1.0,0,0.0,0.0,2.204893,0,0.0,0.0,279.0,363.0,246.0,386.0,-84.0,117.0,-140.0,191.0,174.0,137.0,191.0,17.0,37.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,207.0,42.0,430.0,382.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,180,310207013,,310207013RY,2018,44,10,2018-10-29,11/4/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.0270000000000001,321587.28,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,2404500.0,2.612,0.637,1.065,1.018,1.975,-0.428,0.047,1.4380000000000002,2404500.0,2404500.0,2404500.0,2404500.0,0.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.3419999999999999,423750.07,249,430,0,0,0,1,0,0,0,3.5,0,0.0,0.0,1.0,0,0.0,0.0,2.395349,0,0.0,0.0,305.0,279.0,363.0,246.0,26.0,-84.0,117.0,327.0,191.0,174.0,137.0,136.0,17.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,223.0,-16.0,382.0,407.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,200,310207013,,310207013RY,2018,45,11,2018-11-05,11/11/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.713,535978.8,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,1412600.0,1.2990000000000002,2.612,0.637,1.065,-1.3130000000000002,1.975,-0.428,1.516,2404500.0,2404500.0,2404500.0,2404500.0,0.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.0935,345087.91,207,382,0,0,0,1,0,0,0,3.5,0,0.0,0.0,1.0,0,0.0,0.0,2.359948,0,0.0,0.0,249.0,305.0,279.0,363.0,-56.0,26.0,-84.0,430.0,327.0,191.0,174.0,103.0,136.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,206.0,17.0,407.0,262.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,220,310207013,,310207013RY,2018,47,11,2018-11-19,11/25/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.981,306698.98,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,1412600.0,1.7109999999999999,2.092,1.2990000000000002,2.612,-0.381,0.7929999999999999,-1.3130000000000002,1.700666667,1412600.0,1412600.0,2404500.0,2404500.0,0.0,-991900.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,0.9995,316294.26,206,262,0,0,0,1,0,0,0,3.5,0,0.0,0.0,1.0,0,0.0,0.0,2.196565,0,0.0,0.0,223.0,207.0,249.0,305.0,16.0,-42.0,-56.0,407.0,382.0,430.0,327.0,25.0,-48.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,225.0,-71.0,190.0,153.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,240,310207013,,310207013RY,2018,48,11,2018-11-26,12/2/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.871,272455.89,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,1412600.0,1.703,1.7109999999999999,2.092,1.2990000000000002,-0.008,-0.381,0.7929999999999999,1.8353333330000001,1412600.0,1412600.0,1412600.0,2404500.0,0.0,0.0,-991900.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.1037,348469.34,154,190,0,0,0,1,0,0,0,3.5,0,0.0,0.0,1.0,0,0.0,0.0,2.131579,0,0.0,0.0,206.0,223.0,207.0,249.0,-17.0,16.0,-42.0,262.0,407.0,382.0,430.0,-145.0,25.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,314.0,-89.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,260,310207013,,310207013RY,2018,49,12,2018-12-03,12/9/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.338,418361.23,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,0.0,1.905,1.703,1.7109999999999999,2.092,0.20199999999999999,-0.008,-0.381,1.7730000000000001,1412600.0,1412600.0,1412600.0,1412600.0,0.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.1307,358229.49,225,153,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.699346,0,0.0,0.0,154.0,206.0,223.0,207.0,-52.0,-17.0,16.0,190.0,262.0,407.0,382.0,-72.0,-145.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,252.0,62.0,153.0,285.0,-132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,280,310207013,,310207013RY,2018,50,12,2018-12-10,12/16/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.751,547889.44,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,0.0,1.911,1.905,1.703,1.7109999999999999,0.006,0.20199999999999999,-0.008,1.839666667,0.0,1412600.0,1412600.0,1412600.0,-1412600.0,0.0,0.0,5.8857800000000005,5.8857800000000005,5.8857800000000005,5.8857800000000005,0.0,0.0,0.0,1.2716,403846.13,314,153,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.0,0,0.0,0.0,1.74183,0,0.0,0.0,225.0,154.0,206.0,223.0,71.0,-52.0,-17.0,153.0,190.0,262.0,407.0,-37.0,-72.0,-145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,240.0,12.0,285.0,268.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
