,Unnamed: 0,Prod5,brand_desc,Prod6,YEAR_c,WEEK_c,month_c,START_DATE,END_DATE,Region,m_sku_cd,m_sku_desc,tons,gsv,zcon,zpr1,y400,min_con_price_per_gram,avg_con_price_per_gram,max_con_price_per_gram,media_spend_value,tons_lag18,tons_lag19,tons_lag20,tons_lag21,tons_lagdiff_18_19,tons_lagdiff_19_20,tons_lagdiff_20_21,tons_rollingmean_18_19_20,media_lag_1,media_lag_2,media_lag_3,media_lag_4,media_lagdiff_1_2,media_lagdiff_2_3,media_lagdiff_3_4,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_lagdiff_1_2,price_lagdiff_2_3,price_lagdiff_3_4,sec_vol,sec_val,incentive_applied_pop_count,bonus,freeitems,unit,kg,bonus_flag,freeItems_flag,unit_flag,kg_flag,max_bonus,max_freeitems,max_unit,max_kg,min_bonus,min_freeitems,min_unit,min_kg,avg_bonus,avg_freeitems,avg_unit,avg_kg,incentive_applied_pop_count_lag_1,incentive_applied_pop_count_lag_2,incentive_applied_pop_count_lag_3,incentive_applied_pop_count_lag_4,incentive_applied_pop_count_lagdiff_1_2,incentive_applied_pop_count_lagdiff_2_3,incentive_applied_pop_count_lagdiff_3_4,bonus_lag_1,bonus_lag_2,bonus_lag_3,bonus_lag_4,bonus_lagdiff_1_2,bonus_lagdiff_2_3,bonus_lagdiff_3_4,freeitems_lag_1,freeitems_lag_2,freeitems_lag_3,freeitems_lag_4,freeitems_lagdiff_1_2,freeitems_lagdiff_2_3,freeitems_lagdiff_3_4,unit_lag_1,unit_lag_2,unit_lag_3,unit_lag_4,unit_lagdiff_1_2,unit_lagdiff_2_3,unit_lagdiff_3_4,kg_lag_1,kg_lag_2,kg_lag_3,kg_lag_4,kg_lagdiff_1_2,kg_lagdiff_2_3,kg_lagdiff_3_4,incentive_applied_pop_count_lead_1,incentive_applied_pop_count_lead_2,incentive_applied_pop_count_leaddiff_1_2,bonus_lead_1,bonus_lead_2,bonus_leaddiff_1_2,freeitems_lead_1,freeitems_lead_2,freeitems_leaddiff_1_2,unit_lead_1,unit_lead_2,unit_leaddiff_1_2,kg_lead_1,kg_lead_2,kg_leaddiff_1_2
6320,6320,310207013,,310207013RY,2018,10,3,2018-03-05,3/11/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.0859999999999999,320057.28,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,10869600.0,,,,,,,,,17810100.0,17810100.0,17810100.0,17810100.0,0.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.1907,56696.27,24,12,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.5,0,0.0,0.0,52.0,33.0,32.0,44.0,19.0,1.0,-12.0,18.0,17.0,48.0,52.0,1.0,-31.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,46.0,14.0,36.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6340,6340,310207013,,310207013RY,2018,3,1,2018-01-15,1/21/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.376,110897.04,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,9725100.0,,,,,,,,,9725100.0,9725100.0,1351700.0,1351700.0,0.0,8373400.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.3789,115659.63,242,26,0,42,0,1,0,1,0,3.5,0,1.0,0.0,1.5,0,1.0,0.0,2.384615,0,1.0,0.0,248.0,24.0,115.0,51.0,224.0,-91.0,64.0,40.0,16.0,30.0,21.0,24.0,-14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,89.0,332.0,42.0,80.0,-38.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,0.0,0.0
7220,7220,310207013,,310207013RY,2018,15,4,2018-04-09,4/15/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.004,296193.36,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,13260100.0,0.12,0.42,0.9229999999999999,,-0.3,-0.503,,0.48766666700000005,13260100.0,10869600.0,10869600.0,10869600.0,2390500.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.2979,89138.68,63,27,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.555556,0,0.0,0.0,36.0,61.0,46.0,60.0,-25.0,15.0,-14.0,24.0,32.0,25.0,36.0,-8.0,7.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,49.0,10.0,27.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7820,7820,310207013,,310207013RY,2018,27,7,2018-07-02,7/8/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.2990000000000002,383226.48,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,6939800.0,0.629,0.8759999999999999,0.34299999999999997,1.236,-0.247,0.5329999999999999,-0.893,0.616,3523100.0,3523100.0,3523100.0,3523100.0,0.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,1.8165,542475.21,360,209,0,320,0,1,0,1,0,3.0,0,10.0,0.0,1.0,0,10.0,0.0,1.7105259999999998,0,10.0,0.0,322.0,305.0,230.0,260.0,17.0,75.0,-30.0,187.0,174.0,134.0,154.0,13.0,40.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,260.0,200.0,275.0,28.0,60.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,402.0,-156.0,153.0,197.0,-44.0,0.0,0.0,0.0,244.0,312.0,-68.0,0.0,0.0,0.0
7840,7840,310207013,,310207013RY,2018,20,5,2018-05-14,5/20/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.981,289174.56,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,8816500.0,0.22399999999999998,0.47100000000000003,0.048,0.672,-0.247,0.423,-0.624,0.24766666699999998,8816500.0,8816500.0,13260100.0,13260100.0,0.0,-4443600.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.1928,58178.08,70,27,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.5,0,0.0,0.0,37.0,61.0,49.0,59.0,-24.0,12.0,-10.0,18.0,31.0,22.0,27.0,-13.0,9.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,311.0,-55.0,23.0,187.0,-164.0,0.0,0.0,0.0,290.0,375.0,-85.0,0.0,0.0,0.0
7860,7860,310207013,,310207013RY,2018,13,3,2018-03-26,4/1/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.612,179681.28,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,10869600.0,0.9229999999999999,,,,,,,0.9229999999999999,10869600.0,10869600.0,10869600.0,17810100.0,0.0,0.0,-6940500.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.187,56306.39,61,32,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.34375,0,0.0,0.0,46.0,60.0,24.0,52.0,-14.0,36.0,-28.0,25.0,36.0,12.0,18.0,-11.0,24.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,63.0,-27.0,24.0,27.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000,9000,310207013,,310207013RY,2018,22,5,2018-05-28,6/3/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.94,572734.08,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,8816500.0,1.17,0.376,0.22399999999999998,0.47100000000000003,0.794,0.152,-0.247,0.59,8816500.0,8816500.0,8816500.0,8816500.0,0.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,1.6923,501194.78,311,187,0,375,0,1,0,1,0,3.0,0,30.0,0.0,1.0,0,10.0,0.0,1.652406,0,14.0,0.0,256.0,70.0,37.0,61.0,186.0,33.0,-24.0,23.0,27.0,18.0,31.0,-4.0,9.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,230.0,30.0,154.0,134.0,20.0,0.0,0.0,0.0,275.0,200.0,75.0,0.0,0.0,0.0
9020,9020,310207013,,310207013RY,2018,21,5,2018-05-21,5/27/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.6269999999999998,480085.92,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,8816500.0,0.376,0.22399999999999998,0.47100000000000003,0.048,0.152,-0.247,0.423,0.35700000000000004,8816500.0,8816500.0,8816500.0,13260100.0,0.0,0.0,-4443600.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.9373,280835.28,256,23,0,290,0,1,0,1,0,3.0,0,30.0,0.0,1.5,0,10.0,0.0,2.347826,0,14.0,0.0,70.0,37.0,61.0,49.0,33.0,-24.0,12.0,27.0,18.0,31.0,22.0,9.0,-13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,260.0,51.0,187.0,154.0,33.0,0.0,0.0,0.0,375.0,275.0,100.0,0.0,0.0,0.0
9040,9040,310207013,,310207013RY,2018,7,2,2018-02-12,2/18/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.34299999999999997,101070.72,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,17810100.0,,,,,,,,,17810100.0,9725100.0,9725100.0,9725100.0,8085000.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.1211,36341.76,32,48,0,0,0,1,0,0,0,3.5,0,0.0,0.0,1.5,0,0.0,0.0,2.364583,0,0.0,0.0,44.0,89.0,421.0,242.0,-45.0,-332.0,179.0,52.0,80.0,42.0,26.0,-28.0,38.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,42.0,0.0,-75.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,52.0,-19.0,17.0,18.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9060,9060,310207013,,310207013RY,2018,11,3,2018-03-12,3/18/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.618,477278.4,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,10869600.0,,,,,,,,,10869600.0,17810100.0,17810100.0,17810100.0,-6940500.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.1146,34938.07,60,36,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.291667,0,0.0,0.0,24.0,52.0,33.0,32.0,-28.0,19.0,1.0,12.0,18.0,17.0,48.0,-6.0,1.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,61.0,-15.0,25.0,32.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9920,9920,310207013,,310207013RY,2018,25,6,2018-06-18,6/24/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.637,188103.84,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,3523100.0,0.34299999999999997,1.236,0.861,1.17,-0.893,0.375,-0.309,0.813333333,3523100.0,3523100.0,8816500.0,8816500.0,0.0,-5293400.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,1.5815,466976.0,305,174,0,260,0,1,0,1,0,3.0,0,10.0,0.0,0.5,0,10.0,0.0,1.646552,0,10.0,0.0,230.0,260.0,311.0,256.0,-30.0,-51.0,55.0,134.0,154.0,187.0,23.0,-20.0,-33.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,275.0,375.0,290.0,-75.0,-100.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,360.0,-38.0,187.0,209.0,-22.0,0.0,0.0,0.0,288.0,320.0,-32.0,0.0,0.0,0.0
10940,10940,310207013,,310207013RY,2018,9,2,2018-02-26,3/4/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.629,185296.32,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,17810100.0,,,,,,,,,17810100.0,17810100.0,17810100.0,9725100.0,0.0,0.0,8085000.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.1045,31818.61,52,18,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.25,0,0.0,0.0,33.0,32.0,44.0,89.0,1.0,-12.0,-45.0,17.0,48.0,52.0,80.0,-31.0,-4.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,60.0,-36.0,12.0,36.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,11000,310207013,,310207013RY,2018,30,7,2018-07-23,7/29/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.703,502546.08,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,6939800.0,1.008,1.618,1.0859999999999999,0.629,-0.61,0.532,0.457,1.237333333,6939800.0,6939800.0,6939800.0,3523100.0,0.0,0.0,3416700.0,5.8857800000000005,5.76924,5.76924,5.76924,0.11654,0.0,0.0,1.6463,490613.85,273,177,0,256,0,1,0,1,0,3.0,0,10.0,0.0,1.0,0,10.0,0.0,1.6949150000000002,0,10.0,0.0,402.0,246.0,360.0,322.0,156.0,-114.0,38.0,197.0,153.0,209.0,187.0,44.0,-56.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,244.0,320.0,288.0,68.0,-76.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,360.0,91.0,238.0,185.0,53.0,0.0,0.0,0.0,372.0,0.0,372.0,0.0,0.0,0.0
11020,11020,310207013,,310207013RY,2018,23,6,2018-06-04,6/10/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.018,300404.64,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,3523100.0,0.861,1.17,0.376,0.22399999999999998,-0.309,0.794,0.152,0.802333333,8816500.0,8816500.0,8816500.0,8816500.0,0.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,1.0773,322552.96,260,154,0,275,0,1,0,1,0,3.0,0,30.0,0.0,0.5,0,10.0,0.0,1.6493509999999998,0,14.0,0.0,311.0,256.0,70.0,37.0,55.0,186.0,33.0,187.0,23.0,27.0,18.0,164.0,-4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,290.0,0.0,0.0,85.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,305.0,-75.0,134.0,174.0,-40.0,0.0,0.0,0.0,200.0,260.0,-60.0,0.0,0.0,0.0
11040,11040,310207013,,310207013RY,2018,12,3,2018-03-19,3/25/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.008,297597.12,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,10869600.0,,,,,,,,,10869600.0,10869600.0,17810100.0,17810100.0,0.0,-6940500.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.0703,21524.31,46,25,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.46,0,0.0,0.0,60.0,24.0,52.0,33.0,36.0,-28.0,19.0,36.0,12.0,18.0,17.0,24.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,36.0,25.0,32.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11060,11060,310207013,,310207013RY,2018,4,1,2018-01-22,1/28/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.17,345324.96,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,9725100.0,,,,,,,,,9725100.0,9725100.0,9725100.0,1351700.0,0.0,0.0,8373400.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.8317,252680.32,421,42,0,75,0,1,0,1,0,3.5,0,1.0,0.0,1.5,0,1.0,0.0,2.369048,0,1.0,0.0,242.0,248.0,24.0,115.0,-6.0,224.0,-91.0,26.0,40.0,16.0,30.0,-14.0,24.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,40.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,44.0,45.0,80.0,52.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11080,11080,310207013,,310207013RY,2018,1,1,2018-01-01,1/7/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.47100000000000003,138972.24,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,9725100.0,,,,,,,,,1351700.0,1351700.0,1351700.0,1351700.0,0.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.0391,11931.95,24,16,0,0,0,1,0,0,0,3.5,0,0.0,0.0,1.5,0,0.0,0.0,2.34375,0,0.0,0.0,115.0,51.0,66.0,23.0,64.0,-15.0,43.0,30.0,21.0,24.0,18.0,9.0,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,242.0,6.0,40.0,26.0,14.0,0.0,0.0,0.0,40.0,42.0,-2.0,0.0,0.0,0.0
11100,11100,310207013,,310207013RY,2018,14,4,2018-04-02,4/8/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.847,249869.28,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,13260100.0,0.42,0.9229999999999999,,,-0.503,,,0.6715,10869600.0,10869600.0,10869600.0,10869600.0,0.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.2443,72839.48,36,24,0,0,0,1,0,0,0,3.0,0,0.0,0.0,1.5,0,0.0,0.0,2.375,0,0.0,0.0,61.0,46.0,60.0,24.0,15.0,-14.0,36.0,32.0,25.0,36.0,12.0,7.0,-11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,59.0,4.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11120,11120,310207013,,310207013RY,2018,24,6,2018-06-11,6/17/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.065,314442.24,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,3523100.0,1.236,0.861,1.17,0.376,0.375,-0.309,0.794,1.089,3523100.0,8816500.0,8816500.0,8816500.0,-5293400.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,0.7566,227331.29,230,134,0,200,0,1,0,1,0,3.0,0,10.0,0.0,0.5,0,10.0,0.0,1.69403,0,10.0,0.0,260.0,311.0,256.0,70.0,-51.0,55.0,186.0,154.0,187.0,23.0,27.0,-33.0,164.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,375.0,290.0,0.0,-100.0,85.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,322.0,-17.0,174.0,187.0,-13.0,0.0,0.0,0.0,260.0,288.0,-28.0,0.0,0.0,0.0
11160,11160,310207013,,310207013RY,2018,29,7,2018-07-16,7/22/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,1.7109999999999999,505353.6,1553.84667,1432.1166699999999,-5.48,5.76924,5.8857800000000005,6.11886,6939800.0,1.618,1.0859999999999999,0.629,0.8759999999999999,0.532,0.457,-0.247,1.111,6939800.0,6939800.0,3523100.0,3523100.0,0.0,3416700.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,1.6843,503025.24,402,197,0,312,0,1,0,1,0,3.0,0,10.0,0.0,1.0,0,10.0,0.0,1.667513,0,10.0,0.0,246.0,360.0,322.0,305.0,-114.0,38.0,17.0,153.0,209.0,187.0,174.0,-56.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,320.0,288.0,260.0,-76.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,451.0,-178.0,177.0,238.0,-61.0,0.0,0.0,0.0,256.0,372.0,-116.0,0.0,0.0,0.0
11760,11760,310207013,,310207013RY,2017,48,11,2017-11-27,12/3/2017,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,0.42,123530.88,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,6020700.0,,,,,,,,,6020700.0,,,,,,,5.76924,,,,,,,0.1781,53186.69,34,18,0,0,0,1,0,0,0,3.0,0,0.0,0.0,0.25,0,0.0,0.0,1.375,0,0.0,0.0,27.0,,,,,,,16.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,23.0,66.0,-43.0,18.0,24.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11780,11780,310207013,,310207013RY,2018,28,7,2018-07-09,7/15/2018,PESHAWAR,MS67361385,KNORR BLOCK NOODLES CHATPATA 18X264G,2.092,617654.4,1523.08,1403.76,-5.48,5.76924,5.76924,5.76924,6939800.0,1.0859999999999999,0.629,0.8759999999999999,0.34299999999999997,0.457,-0.247,0.5329999999999999,0.863666667,6939800.0,3523100.0,3523100.0,3523100.0,3416700.0,0.0,0.0,5.76924,5.76924,5.76924,5.76924,0.0,0.0,0.0,1.284,382376.74,246,153,0,244,0,1,0,1,0,3.0,0,10.0,0.0,1.0,0,10.0,0.0,1.6732029999999998,0,10.0,0.0,360.0,322.0,305.0,230.0,38.0,17.0,75.0,209.0,187.0,174.0,134.0,22.0,13.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,288.0,260.0,200.0,32.0,28.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,273.0,129.0,197.0,177.0,20.0,0.0,0.0,0.0,312.0,256.0,56.0,0.0,0.0,0.0
